date,delay,distance,origin,destination
2001-01-01 09:24:00.000000,-4,1117,IAH,PIT
2001-01-01 14:25:00.000000,0,121,OGG,ITO
2001-01-01 18:50:00.000000,-9,907,BNA,PVD
2001-01-01 19:31:00.000000,51,847,SFO,EGE
2001-01-01 22:40:00.000000,-9,1188,DFW,ONT
2001-01-02 00:27:00.000000,24,2399,HNL,SFO
2001-01-02 06:20:00.000000,6,129,SEA,PDX
2001-01-02 06:38:00.000000,10,862,DEN,IAH
2001-01-02 08:05:00.000000,-6,1235,DFW,LAX
2001-01-02 09:06:00.000000,-9,1839,CLE,SJU
2001-01-02 10:23:00.000000,34,1521,LAS,MDW
2001-01-02 13:30:00.000000,14,521,PSC,SLC
2001-01-02 13:31:00.000000,4,224,IAH,DFW
2001-01-02 13:41:00.000000,1,1671,PHX,DTW
2001-01-02 21:05:00.000000,-2,447,SFO,SAN
2001-01-03 08:03:00.000000,-8,190,DFW,AUS
2001-01-03 08:35:00.000000,20,422,RNO,SLC
2001-01-03 09:27:00.000000,-6,229,LGA,IAD
2001-01-03 10:46:00.000000,-4,116,CMH,CVG
2001-01-03 11:48:00.000000,6,745,EWR,ATL
2001-01-03 12:19:00.000000,-27,1192,DCA,DFW
2001-01-03 13:45:00.000000,70,1123,DEN,DTW
2001-01-03 15:44:00.000000,20,395,MDW,BNA
2001-01-03 16:09:00.000000,8,719,EWR,ORD
2001-01-03 16:46:00.000000,37,2139,ATL,SFO
2001-01-03 18:16:00.000000,-2,2401,PHL,LAX
2001-01-03 19:19:00.000000,-13,461,GSO,LGA
2001-01-03 19:35:00.000000,6,3784,HNL,DFW
2001-01-03 20:03:00.000000,-3,888,ORD,DEN
2001-01-04 06:03:00.000000,-12,488,ALB,DTW
2001-01-04 06:30:00.000000,-4,363,PHL,CLE
2001-01-04 07:00:00.000000,0,303,MSY,HOU
2001-01-04 07:28:00.000000,-36,1062,RDU,DFW
2001-01-04 09:02:00.000000,-17,980,MSP,PHL
2001-01-04 09:47:00.000000,3,1195,IAH,SLC
2001-01-04 10:02:00.000000,1,1038,PHL,MCI
2001-01-04 10:04:00.000000,-5,1235,LAX,DFW
2001-01-04 11:40:00.000000,124,508,JFK,DTW
2001-01-04 13:15:00.000000,8,1117,IAH,PIT
2001-01-04 17:12:00.000000,-14,843,MHT,ORD
2001-01-04 20:58:00.000000,-11,329,CLT,JAX
2001-01-05 05:55:00.000000,1,190,SHV,DFW
2001-01-05 07:05:00.000000,-8,2329,BWI,LAX
2001-01-05 08:29:00.000000,12,1046,STL,BOS
2001-01-05 09:33:00.000000,-4,1062,RDU,DFW
2001-01-05 11:30:00.000000,-7,256,PHX,LAS
2001-01-05 11:59:00.000000,0,235,ORD,DTW
2001-01-05 12:36:00.000000,-14,337,LAX,SFO
2001-01-05 15:04:00.000000,5,437,DAL,MSY
2001-01-05 16:29:00.000000,35,1926,SLC,PHL
2001-01-05 16:59:00.000000,-10,862,DEN,LAX
2001-01-05 17:16:00.000000,-17,337,LAX,SFO
2001-01-05 17:24:00.000000,22,693,CID,DEN
2001-01-05 19:47:00.000000,20,395,BNA,MDW
2001-01-05 20:50:00.000000,-2,377,BWI,MHT
2001-01-05 21:41:00.000000,60,215,PIT,DAY
2001-01-06 03:15:00.000000,122,866,LAS,SEA
2001-01-06 07:54:00.000000,9,821,JAX,EWR
2001-01-06 08:06:00.000000,30,140,LAW,DFW
2001-01-06 08:46:00.000000,-1,1900,ONT,ATL
2001-01-06 09:08:00.000000,7,508,GSP,DTW
2001-01-06 09:21:00.000000,10,2116,EWR,TUS
2001-01-06 09:39:00.000000,-7,336,PHL,BTV
2001-01-06 12:08:00.000000,-10,802,ORD,DFW
2001-01-06 14:10:00.000000,20,296,DAL,LIT
2001-01-06 16:02:00.000000,-25,460,GSO,DTW
2001-01-06 17:02:00.000000,16,1569,CVG,PHX
2001-01-06 19:13:00.000000,-8,70,CVG,LEX
2001-01-06 20:57:00.000000,-11,185,BOS,LGA
2001-01-07 09:22:00.000000,-1,539,CVG,MCI
2001-01-07 10:50:00.000000,-8,443,RDU,BNA
2001-01-07 12:18:00.000000,3,390,LAX,RNO
2001-01-07 12:39:00.000000,-4,328,DFW,ICT
2001-01-07 18:45:00.000000,12,602,PHX,DEN
2001-01-07 20:00:00.000000,-3,236,LAX,LAS
2001-01-07 20:21:00.000000,-15,2133,EWR,PHX
2001-01-08 07:38:00.000000,3,337,SFO,LAX
2001-01-08 08:10:00.000000,11,529,CLT,EWR
2001-01-08 09:40:00.000000,-5,248,SAT,DAL
2001-01-08 13:38:00.000000,21,308,LAX,SJC
2001-01-08 14:58:00.000000,-18,334,MSP,ORD
2001-01-08 15:10:00.000000,5,410,STL,CMH
2001-01-08 16:30:00.000000,8,1072,MCO,MCI
2001-01-08 16:52:00.000000,24,1124,MSP,BOS
2001-01-08 17:50:00.000000,14,1400,EWR,IAH
2001-01-08 20:10:00.000000,-6,345,LAS,RNO
2001-01-09 06:49:00.000000,-13,190,SHV,DFW
2001-01-09 07:39:00.000000,-11,991,DEN,PDX
2001-01-09 08:04:00.000000,3,641,DFW,DEN
2001-01-09 08:53:00.000000,9,328,ABQ,PHX
2001-01-09 08:55:00.000000,-21,335,LGA,PIT
2001-01-09 12:32:00.000000,-6,862,IAH,DEN
2001-01-09 12:36:00.000000,-8,693,DEN,CID
2001-01-09 12:57:00.000000,-7,1034,IAH,MSP
2001-01-09 13:39:00.000000,-3,569,ABQ,DFW
2001-01-09 14:25:00.000000,49,629,LAS,DEN
2001-01-09 15:04:00.000000,-4,641,DEN,DFW
2001-01-09 15:57:00.000000,5,325,PHX,ONT
2001-01-09 18:35:00.000000,-34,280,BOS,PHL
2001-01-09 19:38:00.000000,-20,1830,ORD,SJC
2001-01-09 21:25:00.000000,-6,368,LAS,SLC
2001-01-10 05:59:00.000000,-13,185,BOS,LGA
2001-01-10 08:33:00.000000,1,213,DCA,JFK
2001-01-10 08:42:00.000000,-17,304,LIT,DFW
2001-01-10 10:58:00.000000,-6,138,BTR,JAN
2001-01-10 13:30:00.000000,20,214,DCA,LGA
2001-01-10 14:08:00.000000,76,325,ONT,PHX
2001-01-10 21:13:00.000000,65,460,MCI,DFW
2001-01-10 21:53:00.000000,60,1069,CVG,DEN
2001-01-10 22:23:00.000000,18,1542,PDX,ANC
2001-01-10 22:28:00.000000,2,237,DFW,TUL
2001-01-11 06:52:00.000000,-1,373,SMF,LAX
2001-01-11 13:15:00.000000,-7,936,CLT,DFW
2001-01-11 13:17:00.000000,10,1188,ONT,DFW
2001-01-11 14:22:00.000000,1,448,DFW,MSY
2001-01-11 14:47:00.000000,-16,802,DFW,ORD
2001-01-11 17:55:00.000000,-24,238,MKE,DTW
2001-01-11 18:07:00.000000,33,1235,BWI,IAH
2001-01-11 19:38:00.000000,37,1117,IAH,PIT
2001-01-11 20:14:00.000000,51,966,MCI,BWI
2001-01-12 09:49:00.000000,-9,977,IND,DEN
2001-01-12 12:52:00.000000,90,647,PHX,SMF
2001-01-12 12:56:00.000000,-2,214,LGA,DCA
2001-01-12 14:24:00.000000,30,421,SFO,PSP
2001-01-12 14:39:00.000000,-6,661,CVG,BDL
2001-01-12 14:53:00.000000,-21,610,DTW,MEM
2001-01-12 16:36:00.000000,5,73,COS,DEN
2001-01-12 17:06:00.000000,-17,980,MSP,PHL
2001-01-12 17:21:00.000000,-3,116,CMH,CVG
2001-01-12 19:23:00.000000,-27,1046,BOS,STL
2001-01-12 21:30:00.000000,10,197,FLL,TPA
2001-01-12 21:45:00.000000,8,303,MSY,HOU
2001-01-13 07:50:00.000000,0,1428,MSY,SLC
2001-01-13 08:33:00.000000,-1,556,MEM,MKE
2001-01-13 10:00:00.000000,-4,200,EWR,BOS
2001-01-13 14:29:00.000000,-2,447,SAN,SFO
2001-01-13 14:32:00.000000,0,719,EWR,ORD
2001-01-13 16:35:00.000000,-13,296,LIT,STL
2001-01-13 16:56:00.000000,-40,1589,MSP,SFO
2001-01-13 19:25:00.000000,-34,1035,PBI,LGA
2001-01-13 21:35:00.000000,-7,270,JAX,ATL
2001-01-13 23:57:00.000000,-23,2419,SFO,IAD
2001-01-14 10:32:00.000000,-14,522,XNA,ORD
2001-01-14 11:12:00.000000,1,211,BHM,JAN
2001-01-14 11:29:00.000000,-3,1678,LAS,CVG
2001-01-14 12:06:00.000000,-3,639,DEN,TUS
2001-01-14 16:06:00.000000,-6,925,BWI,FLL
2001-01-14 18:03:00.000000,52,296,ORF,LGA
2001-01-14 19:03:00.000000,-3,651,SFO,PHX
2001-01-15 07:40:00.000000,-18,186,PIT,BUF
2001-01-15 11:56:00.000000,-13,545,ATL,PBI
2001-01-15 12:14:00.000000,31,208,PIT,ELM
2001-01-15 13:00:00.000000,-2,345,RNO,LAS
2001-01-15 13:20:00.000000,9,533,MCI,DEN
2001-01-15 15:24:00.000000,-16,403,MEM,CVG
2001-01-15 16:20:00.000000,0,197,TPA,FLL
2001-01-15 18:42:00.000000,-2,2475,JFK,LAX
2001-01-15 18:50:00.000000,-13,422,SLC,RNO
2001-01-15 19:18:00.000000,96,181,BOS,BTV
2001-01-15 19:35:00.000000,-5,248,SAT,DAL
2001-01-15 21:07:00.000000,128,144,JFK,PVD
2001-01-16 06:23:00.000000,-9,1235,LAX,DFW
2001-01-16 09:58:00.000000,-12,1557,PHL,DEN
2001-01-16 13:39:00.000000,-5,151,ATL,HSV
2001-01-16 13:55:00.000000,2,332,ABQ,MAF
2001-01-16 14:04:00.000000,-12,1005,TPA,JFK
2001-01-16 16:41:00.000000,9,925,ORD,IAH
2001-01-16 17:10:00.000000,-5,543,OAK,PDX
2001-01-16 17:48:00.000000,3,714,SWF,ORD
2001-01-16 18:59:00.000000,24,595,MIA,ATL
2001-01-16 20:04:00.000000,-22,2248,JFK,LAS
2001-01-17 07:28:00.000000,-16,696,STL,IAD
2001-01-17 08:00:00.000000,4,405,MDW,MCI
2001-01-17 09:57:00.000000,-11,214,DCA,LGA
2001-01-17 12:12:00.000000,28,2475,JFK,LAX
2001-01-17 13:29:00.000000,6,185,BOS,LGA
2001-01-17 14:45:00.000000,-7,109,MSN,ORD
2001-01-17 16:49:00.000000,-9,663,JAX,BWI
2001-01-17 17:55:00.000000,0,236,LAX,LAS
2001-01-17 20:45:00.000000,4,67,ORD,MKE
2001-01-18 00:44:00.000000,0,1464,SFO,DFW
2001-01-18 01:46:00.000000,22,1300,LAS,MSP
2001-01-18 06:13:00.000000,3,100,OGG,HNL
2001-01-18 07:05:00.000000,10,1140,LAS,MCI
2001-01-18 07:40:00.000000,-2,209,EWR,MHT
2001-01-18 12:41:00.000000,-7,334,ORD,MSP
2001-01-18 13:34:00.000000,-9,550,SFO,PDX
2001-01-18 15:01:00.000000,4,733,ORD,LGA
2001-01-18 16:18:00.000000,9,1211,LAX,SAT
2001-01-18 19:07:00.000000,-3,116,CMH,CVG
2001-01-19 08:15:00.000000,3,162,MDW,IND
2001-01-19 11:01:00.000000,-4,2486,LAX,OGG
2001-01-19 11:06:00.000000,-19,1989,SLC,JFK
2001-01-19 11:42:00.000000,-16,235,ORD,DTW
2001-01-19 12:59:00.000000,4,387,SJC,LAS
2001-01-19 15:57:00.000000,51,843,PHX,SAT
2001-01-19 17:15:00.000000,52,365,PHL,PWM
2001-01-19 17:40:00.000000,-14,585,TUL,ORD
2001-01-19 17:46:00.000000,51,264,CVG,ORD
2001-01-19 18:10:00.000000,0,447,SFO,SAN
2001-01-19 18:45:00.000000,85,749,ROC,ATL
2001-01-20 07:00:00.000000,-1,732,ATL,DFW
2001-01-20 07:56:00.000000,-23,214,DCA,LGA
2001-01-20 07:57:00.000000,-10,1103,PBI,DFW
2001-01-20 08:12:00.000000,5,153,GSP,ATL
2001-01-20 08:43:00.000000,-5,813,TUS,DFW
2001-01-20 09:03:00.000000,-22,920,MIA,DCA
2001-01-20 09:28:00.000000,-47,1145,MIA,DTW
2001-01-20 10:05:00.000000,-5,197,ONT,LAS
2001-01-20 13:13:00.000000,28,529,CLT,EWR
2001-01-20 13:32:00.000000,-22,991,SLC,MSP
2001-01-20 16:25:00.000000,49,116,ORD,BMI
2001-01-20 17:56:00.000000,33,240,DAY,ORD
2001-01-20 18:04:00.000000,-5,1199,DEN,ATL
2001-01-20 20:58:00.000000,-8,631,CLT,FLL
2001-01-20 23:44:00.000000,9,1772,LAS,CMH
2001-01-21 06:53:00.000000,-21,957,DTW,MCO
2001-01-21 08:17:00.000000,-9,720,EGE,DFW
2001-01-21 08:30:00.000000,-25,337,LAX,SFO
2001-01-21 08:52:00.000000,-8,532,SLC,SMF
2001-01-21 09:39:00.000000,1,647,RDU,ORD
2001-01-21 13:31:00.000000,-11,2399,HNL,SFO
2001-01-21 13:52:00.000000,11,362,ONT,OAK
2001-01-21 15:20:00.000000,3,843,SAT,PHX
2001-01-21 19:52:00.000000,-11,1498,ORD,GEG
2001-01-21 20:46:00.000000,9,305,IAH,MSY
2001-01-22 05:54:00.000000,-24,548,BDL,DTW
2001-01-22 06:23:00.000000,18,1090,JFK,MIA
2001-01-22 06:55:00.000000,0,187,CRP,HOU
2001-01-22 07:22:00.000000,-14,1192,DCA,DFW
2001-01-22 08:48:00.000000,26,1674,BOS,SJU
2001-01-22 09:19:00.000000,-7,1865,CVG,SAN
2001-01-22 11:07:00.000000,-5,430,CVG,BWI
2001-01-22 11:37:00.000000,-16,1372,LAS,STL
2001-01-22 11:57:00.000000,-15,214,LGA,DCA
2001-01-22 13:38:00.000000,-7,1634,STT,EWR
2001-01-22 13:57:00.000000,-17,334,MSP,ORD
2001-01-22 14:42:00.000000,-10,1562,BOS,DFW
2001-01-22 14:48:00.000000,-17,689,SLC,SEA
2001-01-22 16:50:00.000000,-13,590,LAX,SLC
2001-01-22 17:20:00.000000,-12,696,SEA,SJC
2001-01-22 19:47:00.000000,-8,334,ORD,MSP
2001-01-22 19:53:00.000000,-13,199,EWR,DCA
2001-01-22 20:35:00.000000,-10,646,OAK,PHX
2001-01-22 21:26:00.000000,18,258,SAN,LAS
2001-01-23 06:15:00.000000,-6,696,IAD,STL
2001-01-23 09:40:00.000000,-5,325,OAK,BUR
2001-01-23 11:07:00.000000,47,135,ORD,CMI
2001-01-23 13:46:00.000000,-14,678,ORD,PHL
2001-01-23 16:48:00.000000,-14,473,ORD,BUF
2001-01-23 16:55:00.000000,-3,197,FLL,TPA
2001-01-23 17:35:00.000000,-9,867,BOS,ORD
2001-01-23 17:38:00.000000,129,550,PDX,SFO
2001-01-23 19:58:00.000000,-11,228,PHL,SYR
2001-01-23 20:28:00.000000,6,1347,IAH,SNA
2001-01-24 01:02:00.000000,-14,1055,LAS,DFW
2001-01-24 06:20:00.000000,2,719,DCA,STL
2001-01-24 06:51:00.000000,-7,468,MCO,CLT
2001-01-24 07:38:00.000000,-3,229,IND,STL
2001-01-24 09:05:00.000000,24,1548,TUS,CVG
2001-01-24 11:36:00.000000,-2,256,LAS,PHX
2001-01-24 12:45:00.000000,8,110,PSP,LAX
2001-01-24 15:40:00.000000,-19,1635,IAH,SFO
2001-01-24 16:25:00.000000,5,423,MDW,OMA
2001-01-24 16:43:00.000000,5,933,SAN,PDX
2001-01-24 17:38:00.000000,-1,129,SEA,PDX
2001-01-24 19:23:00.000000,24,632,DTW,BOS
2001-01-24 19:49:00.000000,-10,453,ATL,LIT
2001-01-25 07:20:00.000000,-4,373,LAX,SMF
2001-01-25 07:58:00.000000,5,1557,DEN,PHL
2001-01-25 08:12:00.000000,-29,2176,PHL,LAS
2001-01-25 14:42:00.000000,20,913,IAH,CLT
2001-01-25 18:37:00.000000,46,1416,IAH,LGA
2001-01-25 20:08:00.000000,12,846,DEN,SNA
2001-01-25 20:31:00.000000,-23,264,BOS,SYR
2001-01-25 21:59:00.000000,6,2306,SEA,IAD
2001-01-26 06:08:00.000000,-13,405,DCA,DTW
2001-01-26 06:43:00.000000,11,1043,RDU,IAH
2001-01-26 11:21:00.000000,52,906,MSP,ATL
2001-01-26 11:27:00.000000,-8,336,RDU,PHL
2001-01-26 12:07:00.000000,-4,957,DTW,MCO
2001-01-26 13:08:00.000000,-13,763,ORD,BTV
2001-01-26 13:50:00.000000,-12,507,PHX,SLC
2001-01-26 15:01:00.000000,-4,514,GSP,PHL
2001-01-26 17:39:00.000000,-17,946,ATL,BOS
2001-01-26 20:40:00.000000,7,335,LGA,PIT
2001-01-26 20:45:00.000000,6,445,ATL,SRQ
2001-01-26 21:48:00.000000,67,554,CLE,ATL
2001-01-26 22:29:00.000000,-2,354,DFW,CRP
2001-01-26 23:03:00.000000,36,144,JFK,PVD
2001-01-27 06:30:00.000000,-5,181,BTV,BOS
2001-01-27 06:57:00.000000,11,440,DTW,STL
2001-01-27 07:11:00.000000,-5,312,MSN,DTW
2001-01-27 11:21:00.000000,-1,416,ORD,OMA
2001-01-27 11:38:00.000000,6,1076,FLL,LGA
2001-01-27 11:48:00.000000,56,412,ORD,PIT
2001-01-27 14:16:00.000000,-1,640,BOS,CMH
2001-01-27 14:28:00.000000,-7,984,DFW,MCO
2001-01-27 15:43:00.000000,49,920,MIA,DCA
2001-01-27 15:57:00.000000,-17,387,LAS,SJC
2001-01-27 16:35:00.000000,-21,197,MSP,FSD
2001-01-27 16:43:00.000000,-21,1449,ANC,SEA
2001-01-27 17:23:00.000000,-36,1050,BDL,MSP
2001-01-27 17:37:00.000000,15,1099,LAS,OMA
2001-01-28 06:56:00.000000,4,190,DFW,AUS
2001-01-28 07:39:00.000000,-24,1515,LAS,ORD
2001-01-28 08:27:00.000000,-9,440,STL,DTW
2001-01-28 10:57:00.000000,-11,448,PHL,CLT
2001-01-28 11:00:00.000000,12,873,TPA,PIT
2001-01-28 11:41:00.000000,-5,1076,DTW,IAH
2001-01-28 12:32:00.000000,-14,1076,FLL,LGA
2001-01-28 19:24:00.000000,50,137,ORD,GRR
2001-01-28 21:30:00.000000,14,187,HOU,CRP
2001-01-29 00:08:00.000000,113,1262,STL,PHX
2001-01-29 05:56:00.000000,7,334,ORD,MSP
2001-01-29 07:28:00.000000,3,719,EWR,ORD
2001-01-29 07:37:00.000000,-1,308,LAX,SJC
2001-01-29 07:57:00.000000,-3,100,HNL,OGG
2001-01-29 08:56:00.000000,-16,1068,EWR,RSW
2001-01-29 11:30:00.000000,32,282,DFW,LBB
2001-01-29 11:37:00.000000,-2,372,SFO,SNA
2001-01-29 13:53:00.000000,-14,700,RDU,MIA
2001-01-29 16:41:00.000000,7,2248,LAS,JFK
2001-01-30 06:56:00.000000,-1,113,AZO,DTW
2001-01-30 07:34:00.000000,-26,1608,EWR,SJU
2001-01-30 08:05:00.000000,15,460,DFW,MCI
2001-01-30 10:00:00.000000,28,306,ATL,GSO
2001-01-30 12:22:00.000000,25,1023,DTW,SRQ
2001-01-30 13:09:00.000000,-14,1069,DEN,CVG
2001-01-30 14:25:00.000000,-12,507,SLC,PHX
2001-01-30 16:01:00.000000,26,420,DEN,ICT
